Conf,Rayon Giration,Distance,ecart-type Distance,RMSD,ecart-type RMSD,Ratio Giration,Correlation,p-value Correlation
REF,16.751269,0,,,,,,
279,17.090169,11.584548,2.701805,0.909077,0.610229,1.020231,0.379334,0.000246
280,16.801475,11.617066,2.693243,0.904333,0.613717,1.002997,0.420246,4.1e-05
281,17.058048,11.597657,2.806462,0.887667,0.634316,1.018314,0.405517,8.1e-05
282,17.179449,11.519101,2.737454,0.922751,0.566823,1.025561,0.452172,9e-06
283,17.070163,11.6019,2.719268,1.102377,0.708437,1.019037,0.483159,2e-06
284,16.944677,11.566079,2.707494,0.924455,0.605414,1.011546,0.445346,1.2e-05
285,16.761299,11.51662,2.789815,0.989839,0.613778,1.000599,0.525946,0.0
286,16.545318,11.528174,2.715135,0.954663,0.631943,0.987705,0.515366,0.0
287,16.841467,11.515485,2.703316,0.885591,0.527836,1.005385,0.498401,1e-06
288,16.87254,11.547832,2.735097,0.939597,0.547299,1.007239,0.550992,0.0
289,17.095182,11.613972,2.755494,0.879535,0.555034,1.020531,0.465013,4e-06
290,16.958915,11.634016,2.836072,0.947691,0.641357,1.012396,0.546557,0.0
291,16.535913,11.566689,2.653752,1.068699,0.591758,0.987144,0.444978,1.2e-05
292,16.84287,11.587883,2.713463,0.976996,0.673769,1.005468,0.481691,2e-06
293,17.038463,11.547644,2.713163,1.007658,0.627905,1.017145,0.465686,4e-06
294,16.722041,11.51973,2.712222,0.890796,0.600478,0.998255,0.445794,1.2e-05
295,16.589625,11.533484,2.676385,0.945022,0.557117,0.99035,0.45073,9e-06
296,17.087162,11.694081,2.720176,0.972286,0.617781,1.020052,0.364792,0.00044
297,16.792371,11.508737,2.704148,0.993474,0.575114,1.002454,0.420301,4.1e-05
298,17.555549,11.601389,2.733336,1.040659,0.677771,1.048013,0.51491,0.0
299,16.696467,11.507146,2.762116,1.013141,0.517404,0.996728,0.56395,0.0
300,16.652352,11.529385,2.702226,0.913089,0.507412,0.994095,0.449463,1e-05
301,16.634353,11.543767,2.687484,1.052652,0.538742,0.99302,0.512031,0.0
302,16.732258,11.589581,2.728203,0.931795,0.555905,0.998865,0.510334,0.0
303,16.802951,11.546015,2.649114,0.930561,0.496442,1.003085,0.508125,0.0
304,16.683478,11.494795,2.720349,0.929656,0.54229,0.995953,0.530952,0.0
305,17.065431,11.638487,2.771567,0.960735,0.646327,1.018755,0.52094,0.0
306,17.412439,11.628781,2.762129,0.87642,0.541537,1.03947,0.441626,1.5e-05
307,16.853818,11.557928,2.786002,0.855848,0.551094,1.006122,0.408638,7e-05
308,17.541709,11.574602,2.809632,0.940043,0.543588,1.047187,0.435281,2e-05
309,17.561472,11.610155,2.797426,0.848059,0.496091,1.048367,0.346354,0.000885
310,16.834957,11.614194,2.861082,0.850696,0.629848,1.004996,0.437375,1.8e-05
311,17.013458,11.606626,2.752802,0.976998,0.650411,1.015652,0.43397,2.2e-05
312,16.807518,11.494846,2.741789,0.950211,0.594933,1.003358,0.575604,0.0
313,16.628499,11.587998,2.72455,0.917498,0.498872,0.992671,0.446201,1.2e-05
314,17.143574,11.613388,2.667561,0.943549,0.579875,1.023419,0.28845,0.00612
315,17.233731,11.569659,2.743972,0.868561,0.448101,1.028802,0.49324,1e-06
316,17.093646,11.602851,2.759473,1.009468,0.600158,1.020439,0.488039,1e-06
317,16.806481,11.534917,2.688442,0.84533,0.507174,1.003296,0.477923,2e-06
318,17.179462,11.603559,2.761158,0.952474,0.563881,1.025562,0.441412,1.5e-05
319,16.795487,11.603155,2.767966,0.987197,0.607574,1.00264,0.510511,0.0
320,16.609795,11.503127,2.734871,0.88763,0.592877,0.991554,0.494886,1e-06
321,16.889668,11.55853,2.714477,0.899239,0.553303,1.008262,0.543497,0.0
322,17.223747,11.604177,2.783992,0.925326,0.648955,1.028205,0.447449,1.1e-05
323,16.940205,11.599717,2.771654,1.011996,0.651962,1.011279,0.48972,1e-06
