Conf,Rayon Giration,Distance,ecart-type Distance,RMSD,ecart-type RMSD,Ratio Giration,Correlation,p-value Correlation
REF,17.447989,0,,,,,,
224,18.188021,11.643325,3.179593,1.285934,0.873376,1.042414,0.427746,2.9e-05
225,18.093729,11.658514,3.14853,1.211135,0.825512,1.037009,0.469679,3e-06
226,18.117283,11.647089,3.132809,1.257445,0.900542,1.038359,0.454389,8e-06
227,17.856783,11.697492,3.090836,1.224925,0.792673,1.023429,0.377758,0.000263
228,17.894708,11.643817,3.096655,1.235782,0.778072,1.025603,0.414896,5.3e-05
229,18.034513,11.674143,3.136796,1.338993,0.797658,1.033616,0.490173,1e-06
230,18.348371,11.697531,3.155265,1.374807,0.952193,1.051604,0.494124,1e-06
231,17.832895,11.593919,3.16244,1.180191,0.821737,1.02206,0.413385,5.7e-05
232,17.956392,11.649558,3.197483,1.243928,0.848576,1.029138,0.462912,5e-06
233,18.25373,11.638832,3.163758,1.247801,0.856539,1.04618,0.454062,8e-06
234,17.922755,11.700555,3.156928,1.47322,0.959503,1.02721,0.542228,0.0
235,18.523329,11.722291,3.150067,1.198775,0.72287,1.061631,0.465426,4e-06
236,18.28352,11.643793,3.139837,1.212278,0.905308,1.047887,0.399278,0.000106
237,18.039427,11.550708,3.150183,1.05171,0.731046,1.033897,0.40213,9.4e-05
238,17.921066,11.666576,3.158529,1.094833,0.796206,1.027114,0.377021,0.000271
239,18.01283,11.706146,3.153546,1.207674,0.877219,1.032373,0.442825,1.4e-05
240,17.680402,11.705841,3.123415,1.181712,0.81612,1.01332,0.40173,9.5e-05
241,17.947575,11.664684,3.187844,1.149519,0.791038,1.028633,0.445194,1.2e-05
242,17.982324,11.643855,3.126962,1.004987,0.699983,1.030624,0.338638,0.00117
243,17.957036,11.596928,3.109311,1.080537,0.728889,1.029175,0.304156,0.003758
244,17.651433,11.622703,3.10155,1.202416,0.771577,1.01166,0.345717,0.000906
245,17.965667,11.663495,3.167801,1.236594,0.838381,1.02967,0.362443,0.000482
246,17.807769,11.649622,3.156377,1.015896,0.700249,1.02062,0.419316,4.3e-05
247,17.67584,11.651424,3.169338,1.181048,0.786,1.013059,0.436543,1.9e-05
248,17.665059,11.760587,3.132005,1.179253,0.745461,1.012441,0.361431,0.000502
249,17.580334,11.63431,3.148469,1.217213,0.79936,1.007585,0.429868,2.6e-05
250,17.817343,11.622785,3.159198,1.20199,0.845607,1.021169,0.424672,3.4e-05
251,17.780548,11.587933,3.087902,1.172763,0.825767,1.01906,0.393675,0.000135
252,17.526459,11.622546,3.146406,1.202779,0.832524,1.004497,0.413553,5.6e-05
253,17.492689,11.627011,3.132853,1.179638,0.856364,1.002562,0.387774,0.000174
254,17.288663,11.5539,3.099324,1.137064,0.805945,0.990869,0.498807,1e-06
255,17.571519,11.565443,3.088541,1.211545,0.870715,1.00708,0.526026,0.0
256,17.701175,11.597122,3.087204,1.291608,0.903384,1.014511,0.456939,7e-06
257,17.719653,11.548523,3.12514,1.214616,0.91023,1.01557,0.508683,0.0
258,17.558091,11.624159,3.143047,1.151494,0.851968,1.00631,0.457563,7e-06
259,17.69141,11.536616,3.092763,1.133134,0.775316,1.013951,0.493783,1e-06
260,17.546849,11.621222,3.144259,1.231473,0.841681,1.005666,0.530144,0.0
261,17.523002,11.62745,3.139354,1.236013,0.816328,1.004299,0.480636,2e-06
262,17.540461,11.596666,3.078708,1.223134,0.75805,1.0053,0.461972,5e-06
263,17.863964,11.727396,3.148931,1.187198,0.728741,1.023841,0.452129,9e-06
