Conf|	Rayon Giration	|	Distance		|		RMSD		|	Ratio Giration	|	Correlation	(p-value)
REF	|	17.44799		|			0
125	|	17.65913		|	11.62624	(+/-3.15836)	|	1.17905	(+/-0.77287)	|	1.0121		|	0.48041	(0.0)
126	|	17.77487		|	11.65249	(+/-3.1646)	|	1.3069	(+/-0.87915)	|	1.01873		|	0.48381	(0.0)
127	|	18.10848		|	11.67234	(+/-3.2243)	|	1.32654	(+/-0.87561)	|	1.03786		|	0.46533	(0.0)
128	|	17.92439		|	11.70239	(+/-3.11415)	|	1.2084	(+/-0.8285)	|	1.0273		|	0.37887	(0.00025)
129	|	17.57736		|	11.71831	(+/-3.14829)	|	1.19325	(+/-0.85086)	|	1.00741		|	0.35692	(0.0006)
130	|	17.63234		|	11.73797	(+/-3.20234)	|	1.30723	(+/-0.8991)	|	1.01057		|	0.47593	(0.0)
131	|	17.82386		|	11.72343	(+/-3.17329)	|	1.26435	(+/-0.85809)	|	1.02154		|	0.49634	(0.0)
132	|	17.91392		|	11.74769	(+/-3.17839)	|	1.22837	(+/-0.89484)	|	1.0267		|	0.48968	(0.0)
133	|	17.64833		|	11.75972	(+/-3.21158)	|	1.35357	(+/-0.85958)	|	1.01148		|	0.45008	(1e-05)
134	|	18.40585		|	11.72331	(+/-3.18655)	|	1.2231	(+/-0.87054)	|	1.0549		|	0.47674	(0.0)
135	|	18.07591		|	11.73527	(+/-3.20307)	|	1.22827	(+/-0.82314)	|	1.03599		|	0.4239	(3e-05)
136	|	18.21392		|	11.77452	(+/-3.21707)	|	1.31135	(+/-0.93021)	|	1.0439		|	0.39399	(0.00013)
137	|	18.12611		|	11.70238	(+/-3.1316)	|	1.36818	(+/-0.91291)	|	1.03887		|	0.44009	(2e-05)
138	|	18.52461		|	11.73963	(+/-3.1806)	|	1.40742	(+/-1.03717)	|	1.0617		|	0.41658	(5e-05)
139	|	17.82072		|	11.6595	(+/-3.15201)	|	1.30276	(+/-0.95672)	|	1.02136		|	0.42306	(4e-05)
140	|	18.28369		|	11.70119	(+/-3.19126)	|	1.11266	(+/-0.76643)	|	1.0479		|	0.36574	(0.00042)
141	|	18.19793		|	11.76245	(+/-3.24312)	|	1.40713	(+/-0.97655)	|	1.04298		|	0.47521	(0.0)
142	|	18.12612		|	11.68303	(+/-3.17966)	|	1.157	(+/-0.90678)	|	1.03887		|	0.42198	(4e-05)
143	|	17.94639		|	11.75796	(+/-3.23632)	|	1.26972	(+/-0.91399)	|	1.02856		|	0.46141	(1e-05)
