Conf|	Rayon Giration	|	Distance		|		RMSD		|	Ratio Giration	|	Correlation	(p-value)
REF	|	16.75127		|			0
97	|	17.24421		|	11.72032	(+/-2.74155)	|	1.09642	(+/-0.7494)	|	1.02943		|	0.50593	(0.0)
98	|	17.07505		|	11.65654	(+/-2.88896)	|	1.02655	(+/-0.74942)	|	1.01933		|	0.47355	(0.0)
99	|	17.24914		|	11.70164	(+/-2.786)	|	1.05651	(+/-0.6341)	|	1.02972		|	0.50327	(0.0)
100	|	17.16754		|	11.6649	(+/-2.77262)	|	1.03526	(+/-0.71567)	|	1.02485		|	0.5447	(0.0)
101	|	17.13411		|	11.69171	(+/-2.83186)	|	1.09668	(+/-0.74104)	|	1.02285		|	0.48973	(0.0)
102	|	16.89812		|	11.57162	(+/-2.7913)	|	1.02085	(+/-0.6788)	|	1.00877		|	0.51878	(0.0)
103	|	17.07713		|	11.70179	(+/-2.88489)	|	1.08547	(+/-0.67724)	|	1.01945		|	0.53019	(0.0)
104	|	17.55212		|	11.65817	(+/-2.91262)	|	1.10613	(+/-0.69657)	|	1.04781		|	0.53498	(0.0)
105	|	16.96904		|	11.60117	(+/-2.87046)	|	0.93344	(+/-0.57141)	|	1.013		|	0.38654	(0.00018)
106	|	17.93064		|	11.66926	(+/-2.87629)	|	1.07028	(+/-0.64551)	|	1.0704		|	0.54505	(0.0)
107	|	17.16769		|	11.62445	(+/-2.88048)	|	1.04081	(+/-0.63403)	|	1.02486		|	0.54695	(0.0)
108	|	17.20147		|	11.60786	(+/-2.86379)	|	1.0146	(+/-0.63005)	|	1.02688		|	0.47895	(0.0)
109	|	17.1157		|	11.6036	(+/-2.82296)	|	1.0215	(+/-0.65357)	|	1.02176		|	0.52126	(0.0)
110	|	17.61037		|	11.72579	(+/-2.78404)	|	1.11753	(+/-0.66303)	|	1.05129		|	0.46503	(0.0)
111	|	17.08231		|	11.64991	(+/-2.80046)	|	0.89878	(+/-0.48378)	|	1.01976		|	0.4587	(1e-05)
112	|	16.93666		|	11.62418	(+/-2.8901)	|	0.95158	(+/-0.49208)	|	1.01107		|	0.53027	(0.0)
113	|	16.73524		|	11.59844	(+/-2.80472)	|	0.87845	(+/-0.55742)	|	0.99904		|	0.49113	(0.0)
114	|	17.12021		|	11.60522	(+/-2.84396)	|	0.8751	(+/-0.56234)	|	1.02202		|	0.44336	(1e-05)
115	|	16.92667		|	11.65458	(+/-2.74752)	|	0.86836	(+/-0.51238)	|	1.01047		|	0.46172	(1e-05)
116	|	16.72351		|	11.56535	(+/-2.77626)	|	0.881	(+/-0.55945)	|	0.99834		|	0.48702	(0.0)
117	|	16.82851		|	11.67069	(+/-2.70391)	|	1.09416	(+/-0.62938)	|	1.00461		|	0.52878	(0.0)
118	|	17.24485		|	11.66942	(+/-2.80947)	|	1.1654	(+/-0.74936)	|	1.02947		|	0.45718	(1e-05)
119	|	16.63792		|	11.5619	(+/-2.74497)	|	0.92068	(+/-0.49951)	|	0.99323		|	0.539	(0.0)
120	|	17.06701		|	11.58767	(+/-2.82997)	|	1.02424	(+/-0.72785)	|	1.01885		|	0.52307	(0.0)
121	|	17.01867		|	11.6246	(+/-2.80927)	|	0.9473	(+/-0.7384)	|	1.01596		|	0.48483	(0.0)
122	|	17.2371		|	11.63347	(+/-2.83799)	|	0.95024	(+/-0.69964)	|	1.029		|	0.45737	(1e-05)
123	|	16.96709		|	11.68027	(+/-2.79106)	|	1.04478	(+/-0.66865)	|	1.01288		|	0.31857	(0.00235)
124	|	17.08428		|	11.56297	(+/-2.71859)	|	0.99593	(+/-0.63431)	|	1.01988		|	0.41776	(5e-05)
125	|	17.40199		|	11.57323	(+/-2.78164)	|	0.99091	(+/-0.59396)	|	1.03885		|	0.49579	(0.0)
126	|	17.62712		|	11.61543	(+/-2.77151)	|	1.12004	(+/-0.74024)	|	1.05229		|	0.47802	(0.0)
127	|	17.40753		|	11.64074	(+/-2.87927)	|	1.07278	(+/-0.68282)	|	1.03918		|	0.39846	(0.00011)
128	|	17.12501		|	11.62281	(+/-2.72854)	|	0.99775	(+/-0.6427)	|	1.02231		|	0.35976	(0.00053)
129	|	17.09288		|	11.67692	(+/-2.77262)	|	0.98663	(+/-0.72055)	|	1.02039		|	0.37284	(0.00032)
130	|	17.29246		|	11.70527	(+/-2.84996)	|	1.08143	(+/-0.76262)	|	1.03231		|	0.48069	(0.0)
131	|	16.81606		|	11.69273	(+/-2.81911)	|	1.05004	(+/-0.71344)	|	1.00387		|	0.47842	(0.0)
132	|	17.10797		|	11.68416	(+/-2.8117)	|	1.00162	(+/-0.74554)	|	1.02129		|	0.45281	(1e-05)
133	|	17.27126		|	11.71077	(+/-2.85399)	|	1.12482	(+/-0.66743)	|	1.03104		|	0.46951	(0.0)
134	|	17.23008		|	11.67119	(+/-2.79097)	|	0.99414	(+/-0.63198)	|	1.02858		|	0.43771	(2e-05)
135	|	17.26478		|	11.6919	(+/-2.81353)	|	1.02227	(+/-0.66897)	|	1.03065		|	0.41808	(5e-05)
136	|	17.35527		|	11.68903	(+/-2.83672)	|	1.04756	(+/-0.76849)	|	1.03606		|	0.34459	(0.00094)
137	|	17.06727		|	11.64557	(+/-2.71058)	|	1.15692	(+/-0.74172)	|	1.01886		|	0.35942	(0.00054)
138	|	17.58104		|	11.68685	(+/-2.74266)	|	1.165	(+/-0.88174)	|	1.04954		|	0.38826	(0.00017)
139	|	17.05058		|	11.62399	(+/-2.69027)	|	1.094	(+/-0.79642)	|	1.01787		|	0.38518	(0.00019)
140	|	16.69848		|	11.62303	(+/-2.73283)	|	0.83048	(+/-0.59717)	|	0.99685		|	0.37024	(0.00036)
141	|	17.43923		|	11.71291	(+/-2.81762)	|	1.14195	(+/-0.82741)	|	1.04107		|	0.48086	(0.0)
142	|	16.90483		|	11.62513	(+/-2.74453)	|	0.94559	(+/-0.7045)	|	1.00917		|	0.33699	(0.00124)
143	|	17.15225		|	11.72093	(+/-2.83791)	|	1.05906	(+/-0.74959)	|	1.02394		|	0.45648	(1e-05)
144	|	17.23897		|	11.71378	(+/-2.78757)	|	0.98797	(+/-0.75085)	|	1.02911		|	0.3994	(0.00011)
145	|	17.25557		|	11.73648	(+/-2.82481)	|	1.09342	(+/-0.75044)	|	1.03011		|	0.43263	(2e-05)
146	|	17.37483		|	11.68235	(+/-2.84151)	|	0.94693	(+/-0.65548)	|	1.03722		|	0.44062	(2e-05)
147	|	17.08572		|	11.7371	(+/-2.72085)	|	1.15504	(+/-0.74629)	|	1.01997		|	0.35577	(0.00062)
148	|	16.88644		|	11.65595	(+/-2.77581)	|	1.05996	(+/-0.77418)	|	1.00807		|	0.43382	(2e-05)
149	|	17.35072		|	11.67399	(+/-2.81245)	|	0.88933	(+/-0.68161)	|	1.03579		|	0.47552	(0.0)
150	|	17.22585		|	11.70213	(+/-2.78205)	|	1.00939	(+/-0.73644)	|	1.02833		|	0.40639	(8e-05)
151	|	17.41705		|	11.68921	(+/-2.78913)	|	1.03357	(+/-0.68489)	|	1.03974		|	0.4437	(1e-05)
152	|	17.00701		|	11.69484	(+/-2.80194)	|	1.09844	(+/-0.70029)	|	1.01527		|	0.39239	(0.00014)
153	|	17.03442		|	11.63364	(+/-2.78625)	|	1.07225	(+/-0.66383)	|	1.0169		|	0.44664	(1e-05)
154	|	17.57631		|	11.71881	(+/-2.75591)	|	1.22533	(+/-0.81328)	|	1.04925		|	0.48494	(0.0)
155	|	16.76492		|	11.62781	(+/-2.7686)	|	0.97018	(+/-0.5867)	|	1.00082		|	0.44941	(1e-05)
156	|	16.93776		|	11.71858	(+/-2.79754)	|	1.1047	(+/-0.6265)	|	1.01113		|	0.53792	(0.0)
157	|	16.99615		|	11.61269	(+/-2.73668)	|	1.0162	(+/-0.69717)	|	1.01462		|	0.44839	(1e-05)
158	|	16.79797		|	11.65524	(+/-2.72713)	|	0.98931	(+/-0.68738)	|	1.00279		|	0.52493	(0.0)
159	|	16.87251		|	11.71685	(+/-2.76255)	|	1.03669	(+/-0.7078)	|	1.00724		|	0.41754	(5e-05)
160	|	17.27197		|	11.79813	(+/-2.91541)	|	1.12153	(+/-0.82726)	|	1.03108		|	0.4787	(0.0)
161	|	16.69706		|	11.57512	(+/-2.81055)	|	1.07362	(+/-0.68786)	|	0.99676		|	0.37759	(0.00026)
162	|	16.89117		|	11.69449	(+/-2.70843)	|	1.06109	(+/-0.70874)	|	1.00835		|	0.4679	(0.0)
163	|	17.18595		|	11.60179	(+/-2.70195)	|	1.06201	(+/-0.75929)	|	1.02595		|	0.46709	(0.0)
164	|	16.85726		|	11.7053	(+/-2.69125)	|	1.06364	(+/-0.65263)	|	1.00633		|	0.50005	(0.0)
165	|	17.42086		|	11.76138	(+/-2.77342)	|	1.14079	(+/-0.71394)	|	1.03997		|	0.44917	(1e-05)
166	|	17.01184		|	11.6992	(+/-2.77151)	|	1.17243	(+/-0.65711)	|	1.01556		|	0.5652	(0.0)
167	|	16.67675		|	11.64014	(+/-2.72595)	|	1.0785	(+/-0.56563)	|	0.99555		|	0.55613	(0.0)
168	|	17.20645		|	11.63568	(+/-2.73704)	|	1.0585	(+/-0.79143)	|	1.02717		|	0.51982	(0.0)
169	|	16.86679		|	11.6984	(+/-2.75847)	|	1.10665	(+/-0.72731)	|	1.0069		|	0.52321	(0.0)
170	|	16.93884		|	11.68104	(+/-2.71501)	|	1.18273	(+/-0.80196)	|	1.0112		|	0.38955	(0.00016)
171	|	17.26797		|	11.66515	(+/-2.74142)	|	1.11399	(+/-0.68758)	|	1.03085		|	0.41601	(5e-05)
172	|	17.25182		|	11.66592	(+/-2.73108)	|	1.09256	(+/-0.67791)	|	1.02988		|	0.44368	(1e-05)
173	|	17.35517		|	11.59133	(+/-2.66538)	|	1.28071	(+/-0.73935)	|	1.03605		|	0.48061	(0.0)
174	|	16.84409		|	11.67612	(+/-2.73924)	|	1.17507	(+/-0.65742)	|	1.00554		|	0.52212	(0.0)
175	|	17.2277		|	11.69657	(+/-2.75822)	|	1.11868	(+/-0.67303)	|	1.02844		|	0.50949	(0.0)
176	|	17.2755		|	11.609	(+/-2.8152)	|	1.03709	(+/-0.62497)	|	1.03129		|	0.5405	(0.0)
177	|	17.4148		|	11.65	(+/-2.80752)	|	0.90086	(+/-0.57958)	|	1.03961		|	0.4848	(0.0)
178	|	17.26871		|	11.71568	(+/-2.795)	|	0.99434	(+/-0.63359)	|	1.03089		|	0.44993	(1e-05)
179	|	17.32496		|	11.64473	(+/-2.7916)	|	1.17277	(+/-0.70677)	|	1.03425		|	0.52852	(0.0)
180	|	17.59365		|	11.74234	(+/-2.79991)	|	1.08771	(+/-0.66557)	|	1.05029		|	0.49742	(0.0)
181	|	17.07109		|	11.73292	(+/-2.76616)	|	0.96085	(+/-0.60544)	|	1.01909		|	0.43933	(2e-05)
182	|	16.96985		|	11.70699	(+/-2.75814)	|	1.06267	(+/-0.72093)	|	1.01305		|	0.48096	(0.0)
183	|	16.81278		|	11.58534	(+/-2.70436)	|	1.04334	(+/-0.63442)	|	1.00367		|	0.42751	(3e-05)
184	|	17.29048		|	11.6272	(+/-2.75213)	|	0.92773	(+/-0.62518)	|	1.03219		|	0.45815	(1e-05)
185	|	17.39653		|	11.73147	(+/-2.76606)	|	0.94246	(+/-0.6196)	|	1.03852		|	0.42695	(3e-05)
186	|	17.38658		|	11.66285	(+/-2.70379)	|	1.07455	(+/-0.68566)	|	1.03793		|	0.46905	(0.0)
187	|	17.42905		|	11.66484	(+/-2.85095)	|	1.0019	(+/-0.59397)	|	1.04046		|	0.60362	(0.0)
188	|	16.79564		|	11.64176	(+/-2.78989)	|	1.17917	(+/-0.71374)	|	1.00265		|	0.54143	(0.0)
189	|	17.18034		|	11.66112	(+/-2.79168)	|	1.02431	(+/-0.64534)	|	1.02561		|	0.47076	(0.0)
190	|	17.53751		|	11.70806	(+/-2.76204)	|	1.05532	(+/-0.73786)	|	1.04694		|	0.44682	(1e-05)
191	|	17.87545		|	11.69807	(+/-2.76719)	|	1.07899	(+/-0.70542)	|	1.06711		|	0.50432	(0.0)
192	|	17.50234		|	11.67989	(+/-2.74714)	|	1.25995	(+/-0.72386)	|	1.04484		|	0.45412	(1e-05)
193	|	17.63402		|	11.74341	(+/-2.84487)	|	1.33931	(+/-0.80219)	|	1.0527		|	0.58621	(0.0)
194	|	17.73243		|	11.8016	(+/-2.77264)	|	1.20809	(+/-0.76893)	|	1.05857		|	0.47745	(0.0)
195	|	17.18471		|	11.66278	(+/-2.72794)	|	1.13112	(+/-0.71144)	|	1.02588		|	0.47657	(0.0)
196	|	17.11404		|	11.69682	(+/-2.79421)	|	1.12298	(+/-0.70518)	|	1.02166		|	0.58677	(0.0)
197	|	17.13872		|	11.69937	(+/-2.75136)	|	1.12264	(+/-0.73618)	|	1.02313		|	0.50571	(0.0)
198	|	17.31376		|	11.70105	(+/-2.79917)	|	1.07914	(+/-0.70521)	|	1.03358		|	0.54206	(0.0)
199	|	17.05048		|	11.72268	(+/-2.80751)	|	1.17465	(+/-0.89027)	|	1.01786		|	0.53302	(0.0)
200	|	16.6778		|	11.64484	(+/-2.70648)	|	0.98368	(+/-0.66334)	|	0.99561		|	0.43117	(2e-05)
201	|	16.91426		|	11.63333	(+/-2.76778)	|	1.04365	(+/-0.67092)	|	1.00973		|	0.47558	(0.0)
202	|	16.78773		|	11.64306	(+/-2.69901)	|	1.02264	(+/-0.6802)	|	1.00218		|	0.47866	(0.0)
203	|	16.99715		|	11.70912	(+/-2.69482)	|	1.02227	(+/-0.66294)	|	1.01468		|	0.44561	(1e-05)
204	|	16.87618		|	11.68067	(+/-2.78442)	|	1.1416	(+/-0.76107)	|	1.00746		|	0.44347	(1e-05)
205	|	17.00519		|	11.72628	(+/-2.69538)	|	1.0711	(+/-0.70976)	|	1.01516		|	0.47681	(0.0)
